#timestamp x y z q_x q_y q_z q_w
1653.729346016 -0.000032728 0.000007195 -0.000011270 -0.003197840 -0.011420310 -0.999830351 0.014093262
1667.849747152 -1.025241494 -0.025366392 0.045657538 -0.005210439 -0.010124611 -0.999671714 0.022952299
1669.060060080 -2.113614321 -0.032083936 0.061710831 -0.010535672 -0.009098541 -0.999900727 0.002180055
1670.270379888 -3.206370592 -0.024944710 0.080434263 -0.011261888 -0.008754430 -0.999896378 0.001939702
1671.480700016 -4.314254761 -0.026318930 0.099101797 -0.008758419 -0.010035572 -0.999877814 0.008181306
1672.691017904 -5.370678902 -0.037076131 0.108572707 -0.008760516 -0.010748851 -0.999506433 0.028188768
1673.497912048 -6.038520813 -0.186410084 0.132522956 -0.011213790 -0.008493728 -0.986382470 0.163864977
1673.901338752 -6.346315384 -0.343061835 0.136662811 -0.012432080 -0.006408937 -0.953814378 0.300070826
1674.304825520 -6.628555775 -0.591159642 0.155899301 -0.013488243 -0.003620095 -0.899317697 0.437072812
1674.708246912 -6.831516266 -0.886567295 0.145701841 -0.014060611 -0.001806160 -0.832570099 0.553738266
1675.111666144 -6.949822426 -1.246961117 0.166777596 -0.014216555 0.000627876 -0.759005013 0.650929248
1675.716843280 -6.991130352 -1.783707380 0.175564945 -0.014712757 0.002754156 -0.673087153 0.739411681
1676.927136192 -6.901215553 -2.995782137 0.188520864 -0.014474813 0.002155729 -0.688206361 0.725367381
1677.935744048 -6.890826702 -4.121916294 0.210201412 -0.015614327 0.000633496 -0.707478362 0.706562212
1678.944327328 -6.885799885 -5.251691818 0.229957089 -0.015153876 0.002421735 -0.696245373 0.717639795
1679.952934112 -6.852662086 -6.364465237 0.260133624 -0.015931535 0.000329348 -0.700896827 0.713084648
1680.961526272 -6.887521267 -7.448798180 0.284330219 -0.015136772 0.001034451 -0.717314897 0.696583912
1681.970142944 -6.890773773 -8.515963554 0.303958863 -0.014273140 0.002110593 -0.687075212 0.726443030
1682.978718576 -6.839523792 -9.663102150 0.337158740 -0.015330111 0.000554113 -0.690404648 0.723260743
1683.987331568 -6.810019970 -10.758262634 0.374953121 -0.014204941 -0.000789614 -0.700653991 0.713359364
1684.995950576 -6.836282253 -11.838589668 0.396890283 -0.016076753 -0.001774639 -0.724658882 0.688917915
1686.004519584 -6.927028656 -12.914040565 0.422640085 -0.015926558 -0.001802418 -0.739056194 0.673453070
1686.811665632 -7.039198399 -13.702180862 0.448955804 -0.016569602 -0.005182206 -0.810627463 0.585304801
1687.214842208 -7.171482086 -14.050862312 0.477684081 -0.015609621 -0.007734281 -0.876862223 0.480426022
1687.618302464 -7.391025543 -14.341464043 0.486060441 -0.014540916 -0.009992375 -0.930480542 0.365916214
1688.021732192 -7.680517673 -14.552005768 0.499620616 -0.012639145 -0.012539843 -0.966446741 0.256249295
1688.626890800 -8.236090660 -14.776163101 0.499545574 -0.012208563 -0.015168744 -0.992861994 0.117668690
1689.433781504 -9.078114510 -14.871362686 0.517532468 0.011475355 0.016911174 0.999790287 0.001308167
1690.442371040 -10.202418327 -14.812379837 0.543839216 -0.008657852 -0.017138647 -0.999786004 0.007697701
1691.450980848 -11.314026833 -14.853004456 0.572901368 -0.010062744 -0.016695108 -0.999768436 0.009115332
1692.459555904 -12.416508675 -14.837742805 0.603392005 0.010063995 0.016274443 0.999759854 0.010681425
1693.468156976 -13.529050827 -14.773793221 0.628932536 0.010503202 0.016504562 0.999250821 0.033392797
1694.476762208 -14.611123085 -14.729023933 0.646135628 -0.011140376 -0.015397217 -0.999814981 0.002970237
1695.485352240 -15.762889862 -14.760634422 0.690283597 -0.011793167 -0.015270026 -0.998721976 0.046713626
1696.493966304 -16.876459122 -14.752935410 0.728794873 0.011194198 0.016172351 0.999630497 0.018762047
1697.099124400 -17.443105698 -14.638175011 0.730371356 0.007884921 0.017524390 0.983455858 0.180125789
1697.502569968 -17.742675781 -14.577542305 0.743321419 0.006020285 0.020323956 0.933180218 0.358783184
1697.905994032 -17.928096771 -14.330018997 0.739422262 0.004656985 0.020807445 0.854679437 0.518718058
1698.309512464 -18.066545486 -14.049537659 0.730849504 0.002058161 0.021141375 0.792295471 0.609767737
1698.914591760 -18.132183075 -13.539261818 0.714028597 -0.001373164 0.021662224 0.695644990 0.718057734
1699.923190032 -17.957691193 -12.446991920 0.670695007 -0.002911000 0.021580314 0.620219523 0.784125985
1700.931789408 -17.715805054 -11.329297066 0.651690006 -0.000467252 0.021861952 0.669802879 0.742216909
1701.940384944 -17.687435150 -10.230518341 0.618742108 0.001819110 0.021798707 0.703818471 0.710043004
1702.948990992 -17.672666550 -9.169096947 0.589832067 0.003085582 0.021028577 0.702103956 0.711757201
1703.957594928 -17.569408417 -8.189784050 0.561726391 -0.001615722 0.021654533 0.602120622 0.798109784
1704.361020480 -17.387002945 -7.773585796 0.553785086 -0.003725826 0.020836414 0.501014811 0.865179820
1704.764451392 -17.123022079 -7.467229843 0.543587685 -0.004966842 0.021575772 0.382139163 0.923839530
1705.167914096 -16.811143875 -7.263935566 0.526157916 -0.007033440 0.020669762 0.260891432 0.965121211
1705.571343072 -16.486278534 -7.128095627 0.508626044 -0.009320949 0.019746420 0.133293295 0.990836059
1705.974798528 -16.190002441 -7.095685005 0.499539346 -0.011019144 0.018728875 0.032103505 0.999248304
1707.185086656 -15.019850731 -7.084160805 0.458840936 -0.011235768 0.018065603 -0.007847112 0.999742874
1708.193694640 -13.931336403 -7.121745586 0.417648911 -0.011683535 0.017847647 -0.019624041 0.999579838
1709.202290256 -12.861334801 -7.191274643 0.391280979 -0.012005927 0.016790496 -0.028870246 0.999370025
1710.210897760 -11.823616982 -7.258750439 0.370868236 -0.011728403 0.017954164 -0.010155814 0.999718436
1711.421222384 -10.626359940 -7.270367146 0.328410834 -0.011387335 0.016985369 0.013267207 0.999702859
1712.631625312 -9.467198372 -7.247317314 0.315591037 -0.010648094 0.016216022 0.016059103 0.999682832
1713.841842864 -8.263565063 -7.241454124 0.283511281 -0.011387493 0.015534030 0.002945984 0.999810152
1714.850443696 -7.205111504 -7.250858307 0.264295280 -0.011003721 0.015514177 0.012025459 0.999746776
1715.859043584 -6.152504921 -7.250501156 0.230171710 -0.011941188 0.016557120 0.004144908 0.999783021
